           :   C   : min_df  : max_df  
-0.588+/-0.000409 : 0.125 : 0.01 : 1.0
-0.671+/-0.000221 : 0.125 : 0.05 : 1.0
-0.678+/-0.000172 : 0.125 : 0.1 : 1.0
-0.588+/-0.000409 : 0.125 : 0.01 : 0.9
-0.671+/-0.000221 : 0.125 : 0.05 : 0.9
-0.678+/-0.000172 : 0.125 : 0.1 : 0.9
-0.588+/-0.000409 : 0.125 : 0.01 : 0.8
-0.671+/-0.000221 : 0.125 : 0.05 : 0.8
-0.678+/-0.000172 : 0.125 : 0.1 : 0.8
-0.588+/-0.000409 : 0.125 : 0.01 : 0.7
-0.671+/-0.000221 : 0.125 : 0.05 : 0.7
-0.678+/-0.000172 : 0.125 : 0.1 : 0.7
-0.588+/-0.000411 : 0.25 : 0.01 : 1.0
-0.671+/-0.000221 : 0.25 : 0.05 : 1.0
-0.678+/-0.000172 : 0.25 : 0.1 : 1.0
-0.588+/-0.000411 : 0.25 : 0.01 : 0.9
-0.671+/-0.000221 : 0.25 : 0.05 : 0.9
-0.678+/-0.000172 : 0.25 : 0.1 : 0.9
-0.588+/-0.000411 : 0.25 : 0.01 : 0.8
-0.671+/-0.000221 : 0.25 : 0.05 : 0.8
-0.678+/-0.000172 : 0.25 : 0.1 : 0.8
-0.588+/-0.000411 : 0.25 : 0.01 : 0.7
-0.671+/-0.000221 : 0.25 : 0.05 : 0.7
-0.678+/-0.000172 : 0.25 : 0.1 : 0.7
-0.588+/-0.000412 : 0.5 : 0.01 : 1.0
-0.671+/-0.000221 : 0.5 : 0.05 : 1.0
-0.678+/-0.000172 : 0.5 : 0.1 : 1.0
-0.588+/-0.000412 : 0.5 : 0.01 : 0.9
-0.671+/-0.000221 : 0.5 : 0.05 : 0.9
-0.678+/-0.000172 : 0.5 : 0.1 : 0.9
-0.588+/-0.000412 : 0.5 : 0.01 : 0.8
-0.671+/-0.000221 : 0.5 : 0.05 : 0.8
-0.678+/-0.000172 : 0.5 : 0.1 : 0.8
-0.588+/-0.000412 : 0.5 : 0.01 : 0.7
-0.671+/-0.000221 : 0.5 : 0.05 : 0.7
-0.678+/-0.000172 : 0.5 : 0.1 : 0.7
-0.588+/-0.000412 : 1 : 0.01 : 1.0
-0.671+/-0.000221 : 1 : 0.05 : 1.0
-0.678+/-0.000172 : 1 : 0.1 : 1.0
-0.588+/-0.000412 : 1 : 0.01 : 0.9
-0.671+/-0.000221 : 1 : 0.05 : 0.9
-0.678+/-0.000172 : 1 : 0.1 : 0.9
-0.588+/-0.000412 : 1 : 0.01 : 0.8
-0.671+/-0.000221 : 1 : 0.05 : 0.8
-0.678+/-0.000172 : 1 : 0.1 : 0.8
-0.588+/-0.000412 : 1 : 0.01 : 0.7
-0.671+/-0.000221 : 1 : 0.05 : 0.7
-0.678+/-0.000172 : 1 : 0.1 : 0.7
-0.588+/-0.000412 : 2 : 0.01 : 1.0
-0.671+/-0.000221 : 2 : 0.05 : 1.0
-0.678+/-0.000172 : 2 : 0.1 : 1.0
-0.588+/-0.000412 : 2 : 0.01 : 0.9
-0.671+/-0.000221 : 2 : 0.05 : 0.9
-0.678+/-0.000172 : 2 : 0.1 : 0.9
-0.588+/-0.000412 : 2 : 0.01 : 0.8
-0.671+/-0.000221 : 2 : 0.05 : 0.8
-0.678+/-0.000172 : 2 : 0.1 : 0.8
-0.588+/-0.000412 : 2 : 0.01 : 0.7
-0.671+/-0.000221 : 2 : 0.05 : 0.7
-0.678+/-0.000172 : 2 : 0.1 : 0.7
-0.588+/-0.000412 : 4 : 0.01 : 1.0
-0.671+/-0.000221 : 4 : 0.05 : 1.0
-0.678+/-0.000172 : 4 : 0.1 : 1.0
-0.588+/-0.000412 : 4 : 0.01 : 0.9
-0.671+/-0.000221 : 4 : 0.05 : 0.9
-0.678+/-0.000172 : 4 : 0.1 : 0.9
-0.588+/-0.000412 : 4 : 0.01 : 0.8
-0.671+/-0.000221 : 4 : 0.05 : 0.8
-0.678+/-0.000172 : 4 : 0.1 : 0.8
-0.588+/-0.000412 : 4 : 0.01 : 0.7
-0.671+/-0.000221 : 4 : 0.05 : 0.7
-0.678+/-0.000172 : 4 : 0.1 : 0.7

cv_best results:{'predictor__C': 1, 'tfidf__max_df': 1.0, 'tfidf__min_df': 0.01}-0.5882088913137243
