           :   C   : min_df  : max_df  
-0.600+/-0.000484 : 0.125 : 0.01 : 1.0
-0.674+/-0.000381 : 0.125 : 0.05 : 1.0
-0.678+/-0.000238 : 0.125 : 0.1 : 1.0
-0.600+/-0.000484 : 0.125 : 0.01 : 0.9
-0.674+/-0.000381 : 0.125 : 0.05 : 0.9
-0.678+/-0.000238 : 0.125 : 0.1 : 0.9
-0.600+/-0.000484 : 0.125 : 0.01 : 0.8
-0.674+/-0.000381 : 0.125 : 0.05 : 0.8
-0.678+/-0.000238 : 0.125 : 0.1 : 0.8
-0.600+/-0.000484 : 0.125 : 0.01 : 0.7
-0.674+/-0.000381 : 0.125 : 0.05 : 0.7
-0.678+/-0.000238 : 0.125 : 0.1 : 0.7
-0.600+/-0.000486 : 0.25 : 0.01 : 1.0
-0.674+/-0.000381 : 0.25 : 0.05 : 1.0
-0.678+/-0.000238 : 0.25 : 0.1 : 1.0
-0.600+/-0.000486 : 0.25 : 0.01 : 0.9
-0.674+/-0.000381 : 0.25 : 0.05 : 0.9
-0.678+/-0.000238 : 0.25 : 0.1 : 0.9
-0.600+/-0.000486 : 0.25 : 0.01 : 0.8
-0.674+/-0.000381 : 0.25 : 0.05 : 0.8
-0.678+/-0.000238 : 0.25 : 0.1 : 0.8
-0.600+/-0.000486 : 0.25 : 0.01 : 0.7
-0.674+/-0.000381 : 0.25 : 0.05 : 0.7
-0.678+/-0.000238 : 0.25 : 0.1 : 0.7
-0.600+/-0.000487 : 0.5 : 0.01 : 1.0
-0.674+/-0.000381 : 0.5 : 0.05 : 1.0
-0.678+/-0.000238 : 0.5 : 0.1 : 1.0
-0.600+/-0.000487 : 0.5 : 0.01 : 0.9
-0.674+/-0.000381 : 0.5 : 0.05 : 0.9
-0.678+/-0.000238 : 0.5 : 0.1 : 0.9
-0.600+/-0.000487 : 0.5 : 0.01 : 0.8
-0.674+/-0.000381 : 0.5 : 0.05 : 0.8
-0.678+/-0.000238 : 0.5 : 0.1 : 0.8
-0.600+/-0.000487 : 0.5 : 0.01 : 0.7
-0.674+/-0.000381 : 0.5 : 0.05 : 0.7
-0.678+/-0.000238 : 0.5 : 0.1 : 0.7
-0.600+/-0.000488 : 1 : 0.01 : 1.0
-0.674+/-0.000381 : 1 : 0.05 : 1.0
-0.678+/-0.000238 : 1 : 0.1 : 1.0
-0.600+/-0.000488 : 1 : 0.01 : 0.9
-0.674+/-0.000381 : 1 : 0.05 : 0.9
-0.678+/-0.000238 : 1 : 0.1 : 0.9
-0.600+/-0.000488 : 1 : 0.01 : 0.8
-0.674+/-0.000381 : 1 : 0.05 : 0.8
-0.678+/-0.000238 : 1 : 0.1 : 0.8
-0.600+/-0.000488 : 1 : 0.01 : 0.7
-0.674+/-0.000381 : 1 : 0.05 : 0.7
-0.678+/-0.000238 : 1 : 0.1 : 0.7
-0.600+/-0.000488 : 2 : 0.01 : 1.0
-0.674+/-0.000381 : 2 : 0.05 : 1.0
-0.678+/-0.000238 : 2 : 0.1 : 1.0
-0.600+/-0.000488 : 2 : 0.01 : 0.9
-0.674+/-0.000381 : 2 : 0.05 : 0.9
-0.678+/-0.000238 : 2 : 0.1 : 0.9
-0.600+/-0.000488 : 2 : 0.01 : 0.8
-0.674+/-0.000381 : 2 : 0.05 : 0.8
-0.678+/-0.000238 : 2 : 0.1 : 0.8
-0.600+/-0.000488 : 2 : 0.01 : 0.7
-0.674+/-0.000381 : 2 : 0.05 : 0.7
-0.678+/-0.000238 : 2 : 0.1 : 0.7
-0.600+/-0.000488 : 4 : 0.01 : 1.0
-0.674+/-0.000381 : 4 : 0.05 : 1.0
-0.678+/-0.000238 : 4 : 0.1 : 1.0
-0.600+/-0.000488 : 4 : 0.01 : 0.9
-0.674+/-0.000381 : 4 : 0.05 : 0.9
-0.678+/-0.000238 : 4 : 0.1 : 0.9
-0.600+/-0.000488 : 4 : 0.01 : 0.8
-0.674+/-0.000381 : 4 : 0.05 : 0.8
-0.678+/-0.000238 : 4 : 0.1 : 0.8
-0.600+/-0.000488 : 4 : 0.01 : 0.7
-0.674+/-0.000381 : 4 : 0.05 : 0.7
-0.678+/-0.000238 : 4 : 0.1 : 0.7

cv_best results:{'predictor__C': 2, 'tfidf__max_df': 1.0, 'tfidf__min_df': 0.01}-0.5995041252054719
